NOTICE_DATE,JOB_SITE_NAME,COUNTY_NAME,WDA_NAME,TOTAL_LAYOFF_NUMBER,LayOff_Date,WFDD_RECEIVED_DATE,CITY_NAME,,,,,,,,,,,,,
13-Nov-15,"Topsail Staffing, LLC-HealthPPO-Preston Rd.",Dallas,Dallas County WDA,15,31-Dec-15,13-Nov-15,Dallas,,,,,,,,,,,,,
13-Nov-15,"Topsail Staffing, LLC-HealthPRO- Bedford",Tarrant,Tarrant County WDA,15,31-Dec-15,13-Nov-15,Bedford,,,,,,,,,,,,,
13-Nov-15,"Topsail Staffing, LLC-HealthPRO-Emerald Dr.",Dallas,Dallas County WDA,15,31-Dec-15,13-Nov-15,Dallas,,,,,,,,,,,,,
13-Nov-15,Cameron International- Thomas Road,Harris,Gulf Coast WDA,75,11-Jan-16,13-Nov-15,Houston,,,,,,,,,,,,,
13-Nov-15,"Trelleborg Offshoe US, Inc. - Hardy Road",Harris,Gulf Coast WDA,100,04-Nov-15,13-Nov-15,Houston,,,,,,,,,,,,,
13-Nov-15,"Trelleborg Offshore US, Inc.-Rankin Road",Harris,Gulf Coast WDA,100,04-Nov-15,13-Nov-15,Houston,,,,,,,,,,,,,
12-Nov-15,TransLogistics Solutions of North Texas (TLNT),Grayson,Texoma WDA,58,12-Nov-15,12-Nov-15,Sherman,,,,,,,,,,,,,
12-Nov-15,National Oilwell Varco-San Angelo2,Tom Green,Concho Valley WDA,120,15-Jan-16,12-Nov-15,San Angelo,,,,,,,,,,,,,
04-Nov-15,Fidelity Exploration & Production Company,Rusk,East Texas WDA,2,30-Jun-16,04-Nov-15,Minden,,,,,,,,,,,,,
04-Nov-15,Boeing Company,Harris,Gulf Coast WDA,11,01-Jan-16,04-Nov-15,Houston,,,,,,,,,,,,,
02-Nov-15,Forest Park Medical Center,Dallas,Dallas County WDA,196,30-Oct-15,02-Nov-15,Dallas,,,,,,,,,,,,,
02-Nov-15,Gulf Greyhound Park,Galveston,Gulf Coast WDA,125,01-Jan-16,02-Nov-15,La Marque,,,,,,,,,,,,,
30-Oct-15,American Airlines-(TX Aero Engine Service LLC-TAESL,Denton,North Central Texas WDA,595,31-Jan-16,30-Oct-15,Ft. Worth,,,,,,,,,,,,,
29-Oct-15,"Infinity Construction Services, LP",Brazoria,Gulf Coast WDA,389,07-Dec-15,29-Oct-15,Freeport,,,,,,,,,,,,,
28-Oct-15,"MV Transportation, Inc.- Houston",Harris,Gulf Coast WDA,333,31-Dec-15,28-Oct-15,Houston,,,,,,,,,,,,,
26-Oct-15,Vantage Deepwater Drilling Inc.,Harris,Gulf Coast WDA,135,30-Sep-15,26-Oct-15,Houston,,,,,,,,,,,,,
20-Oct-15,Del Taco - Dallas,Dallas,Dallas County WDA,18,15-Dec-15,20-Oct-15,Dallas,,,,,,,,,,,,,
20-Oct-15,Del Taco - Denton,Denton,North Central Texas WDA,17,15-Dec-15,20-Oct-15,Denton,,,,,,,,,,,,,
20-Oct-15,Del Taco - Frisco,Collin,North Central Texas WDA,23,15-Dec-15,20-Oct-15,Frisco,,,,,,,,,,,,,
20-Oct-15,Del Taco - Dallas2,Dallas,Dallas County WDA,16,15-Dec-15,20-Oct-15,Dallas,,,,,,,,,,,,,
20-Oct-15,Del Taco - Little Elm,Denton,North Central Texas WDA,19,15-Dec-15,20-Oct-15,Little Elm,,,,,,,,,,,,,
20-Oct-15,Del Taco - Cedar Park,Williamson,Rural Capital WDA,20,15-Dec-15,20-Oct-15,Cedar Park,,,,,,,,,,,,,
20-Oct-15,Del Taco - Lewisville,Denton,North Central Texas WDA,20,15-Dec-15,20-Oct-15,Lewisville,,,,,,,,,,,,,
20-Oct-15,Del Taco - Round Rock,Williamson,Rural Capital WDA,19,15-Dec-15,20-Oct-15,Round Rock,,,,,,,,,,,,,
20-Oct-15,Del Taco - San Marcos,Hays,Rural Capital WDA,15,15-Dec-15,20-Oct-15,San Marcos,,,,,,,,,,,,,
20-Oct-15,Del Taco-Mckinney,Collin,North Central Texas WDA,14,15-Dec-15,20-Oct-15,McKinney,,,,,,,,,,,,,
20-Oct-15,Del Taco - San Antonio,Bexar,Alamo WDA,21,15-Dec-15,20-Oct-15,San Antonio,,,,,,,,,,,,,
20-Oct-15,INVISTA,Orange,South East Texas WDA,110,18-Dec-15,20-Oct-15,Orange,,,,,,,,,,,,,
20-Oct-15,Del Taco - Plano,Collin,North Central Texas WDA,16,15-Dec-15,20-Oct-15,Plano,,,,,,,,,,,,,
19-Oct-15,Forum Energy Technologies,Cooke,Texoma WDA,60,16-Oct-15,19-Oct-15,Gainesville,,,,,,,,,,,,,
16-Oct-15,Clarke American (Harland Clarke)-San Antonio,Bexar,Alamo WDA,107,30-Jan-16,16-Oct-15,San Antonio,,,,,,,,,,,,,
16-Oct-15,Forest Park Medical Center-San Antonio,Bexar,Alamo WDA,139,15-Oct-15,16-Oct-15,San Antonio,,,,,,,,,,,,,
15-Oct-15,Boeing Company,Harris,Gulf Coast WDA,14,11-Dec-15,15-Oct-15,Houston,,,,,,,,,,,,,
12-Oct-15,MullinTBG,Dallas,Dallas County WDA,7,07-Dec-15,12-Oct-15,Dallas,,,,,,,,,,,,,
12-Oct-15,Hewlett Packard - Houston2,Harris,Gulf Coast WDA,16,09-Oct-15,12-Oct-15,Houston,,,,,,,,,,,,,
12-Oct-15,Barclays Capital-Dallas,Dallas,Dallas County WDA,16,28-Dec-15,12-Oct-15,Dallas,,,,,,,,,,,,,
12-Oct-15,Barclays Capital-Houston,Harris,Gulf Coast WDA,12,28-Dec-15,12-Oct-15,Houston,,,,,,,,,,,,,
01-Oct-15,Doyon Security Services,El Paso,Upper Rio Grande WDA,450,30-Nov-15,01-Oct-15,El Paso,,,,,,,,,,,,,
29-Sep-15,Boeing Company,Harris,Gulf Coast WDA,15,20-Nov-15,29-Sep-15,Houston,,,,,,,,,,,,,
29-Sep-15,AT&T-Houston,Harris,Gulf Coast WDA,201,21-Nov-15,29-Sep-15,Houston,,,,,,,,,,,,,
24-Sep-15,National Oilwell Varco-Lockwood Dr.,Harris,Gulf Coast WDA,85,26-Nov-15,24-Sep-15,Houston,,,,,,,,,,,,,
22-Sep-15,Hercules Offshore,Harris,Gulf Coast WDA,50,21-Nov-15,22-Sep-15,Houston,,,,,,,,,,,,,
22-Sep-15,ABM Janitorial Services,Harris,Gulf Coast WDA,260,31-Oct-15,22-Sep-15,Houston,,,,,,,,,,,,,
21-Sep-15,"KW International, LLC",Harris,Gulf Coast WDA,47,21-Sep-15,21-Sep-15,Houston,,,,,,,,,,,,,
17-Sep-15,Peerless Manufacturing-Dallas,Archer,North Texas WDA,70,16-Nov-15,17-Sep-15,Wichita Falls,,,,,,,,,,,,,
15-Sep-15,USAA-Addison,Dallas,Dallas County WDA,105,06-Nov-15,15-Sep-15,Addison,,,,,,,,,,,,,
15-Sep-15,Lockheed Martin- Commercial Engine Solutions,Bexar,Alamo WDA,87,19-Nov-15,15-Sep-15,San Antonio,,,,,,,,,,,,,
11-Sep-15,"PFSweb, Inc.",Houston,Tarrant County WDA,61,31-Dec-15,11-Sep-15,Grapeland,,,,,,,,,,,,,
03-Sep-15,Cameron International-Houston,Harris,Gulf Coast WDA,150,02-Nov-15,03-Sep-15,Houston,,,,,,,,,,,,,
01-Sep-15,ConocoPhillips-Park Ten Pl.,Harris,Gulf Coast WDA,50,30-Oct-15,01-Sep-15,Houston,,,,,,,,,,,,,
01-Sep-15,ConocoPhillips-Dairy Ashford,Harris,Gulf Coast WDA,50,30-Oct-15,01-Sep-15,Houston,,,,,,,,,,,,,
01-Sep-15,ConocoPhillips-Westlake Park2,Harris,Gulf Coast WDA,50,01-Sep-15,01-Sep-15,Houston,,,,,,,,,,,,,
01-Sep-15,ConocoPhillips-St. Mary's,Harris,Gulf Coast WDA,50,30-Oct-15,01-Sep-15,Houston,,,,,,,,,,,,,
01-Sep-15,ConocoPhillips-Katy Frwy,Harris,Gulf Coast WDA,50,30-Oct-15,01-Sep-15,Houston,,,,,,,,,,,,,
01-Sep-15,ConocoPhillips-Barker Cypress,Harris,Gulf Coast WDA,50,30-Oct-15,01-Sep-15,Houston,,,,,,,,,,,,,
01-Sep-15,ConocoPhillips-Post Oak,Harris,Gulf Coast WDA,50,30-Oct-15,01-Sep-15,Houston,,,,,,,,,,,,,
01-Sep-15,ConocoPhillips-JFK Blvd.,Harris,Gulf Coast WDA,50,30-Oct-15,01-Sep-15,Houston,,,,,,,,,,,,,
01-Sep-15,Bronco Oilfield Services-Longview,Harrison,East Texas WDA,52,30-Oct-15,01-Sep-15,Longview,,,,,,,,,,,,,
01-Sep-15,Texas Health Care,Tarrant,Tarrant County WDA,65,31-Oct-15,01-Sep-15,Ft. Worth,,,,,,,,,,,,,
01-Sep-15,ConocoPhillips-Westlake Park,Harris,Gulf Coast WDA,50,30-Oct-15,01-Sep-15,Houston,,,,,,,,,,,,,
01-Sep-15,ConocoPhillips-Threadneedle,Harris,Gulf Coast WDA,50,30-Oct-15,01-Sep-15,Houston,,,,,,,,,,,,,
31-Aug-15,"Lufkin Industries, (GE Oil & Gas)",Angelina,Deep East Texas WDA,176,10-Sep-15,31-Aug-15,Lufkin,,,,,,,,,,,,,
28-Aug-15,Hewlett Packard - Houston2,Harris,Gulf Coast WDA,70,28-Aug-15,28-Aug-15,Houston,,,,,,,,,,,,,
27-Aug-15,Timberlawn Mental Health System,Dallas,Dallas County WDA,80,27-Aug-15,27-Aug-15,Dallas,,,,,,,,,,,,,
27-Aug-15,Timberlawn -Garland,Dallas,Dallas County WDA,80,27-Aug-15,27-Aug-15,Garland,,,,,,,,,,,,,
26-Aug-15,Boeing Company,Harris,Gulf Coast WDA,70,23-Oct-15,26-Aug-15,Houston,,,,,,,,,,,,,
24-Aug-15,Lamons Gasket Company,Harris,Gulf Coast WDA,77,23-Oct-15,24-Aug-15,Houston,,,,,,,,,,,,,
12-Aug-15,Chevron-Two Allen Center,Harris,Gulf Coast WDA,237,12-Oct-15,12-Aug-15,Houston,,,,,,,,,,,,,
12-Aug-15,Chevron-Smith St.,Harris,Gulf Coast WDA,237,12-Oct-15,12-Aug-15,Houston,,,,,,,,,,,,,
12-Aug-15,"Chevron USA, Inc. - Houston2",Harris,Gulf Coast WDA,237,12-Oct-15,12-Aug-15,Houston,,,,,,,,,,,,,
12-Aug-15,"Chevron USA, Inc.",Harris,Gulf Coast WDA,239,12-Oct-15,12-Aug-15,Houston,,,,,,,,,,,,,
10-Aug-15,Color Spot Nurseries-Waco,McLennan,Heart of Texas WDA,43,30-Aug-15,10-Aug-15,Waco,,,,,,,,,,,,,
10-Aug-15,Color Spot Nurseries-Walnut Springs,Bosque,Heart of Texas WDA,75,30-Aug-15,10-Aug-15,Walnut Springs,,,,,,,,,,,,,
07-Aug-15,National Oilwell Varco-Fiberglass Systems,Palo Pinto,North Central Texas WDA,110,06-Aug-15,07-Aug-15,Mineral Wells,,,,,,,,,,,,,
31-Jul-15,Dynamic Workforce Solutions-New Braunfels,Comal,Alamo WDA,7,01-Oct-15,31-Jul-15,New Braunfels,,,,,,,,,,,,,
31-Jul-15,National Oilwell Varco-Willis,Montgomery,Gulf Coast WDA,150,16-Aug-15,31-Jul-15,Willis,,,,,,,,,,,,,
31-Jul-15,Dynamic Workforce Solutions-Boerne,Kendall,Alamo WDA,1,01-Oct-15,31-Jul-15,Boerne,,,,,,,,,,,,,
31-Jul-15,Dynamic Workforce Solutions-Hondo,Medina,Alamo WDA,2,01-Oct-15,31-Jul-15,Hondo,,,,,,,,,,,,,
31-Jul-15,Dynamic Workforce Solutions- Kerville,Kerr,Alamo WDA,7,01-Oct-15,31-Jul-15,Kerrville,,,,,,,,,,,,,
31-Jul-15,Dynamic Workforce Solutions - Pearsal,Frio,Alamo WDA,2,01-Oct-15,31-Jul-15,Pearsall,,,,,,,,,,,,,
31-Jul-15,Dynamic Workforce Solutions - Pleasanton,Atascosa,Alamo WDA,4,01-Oct-15,31-Jul-15,Pleasanton,,,,,,,,,,,,,
31-Jul-15,Dynamic Workforce Solutions- Houston St.,Bexar,Alamo WDA,18,01-Oct-15,31-Jul-15,San Antonio,,,,,,,,,,,,,
31-Jul-15,Dynamic Workforce Solutions-Walzem,Bexar,Alamo WDA,25,01-Oct-15,31-Jul-15,San Antonio,,,,,,,,,,,,,
31-Jul-15,Dynamic Workforce Solutions - Hillcrest,Bexar,Alamo WDA,23,01-Oct-15,31-Jul-15,San Antonio,,,,,,,,,,,,,
31-Jul-15,Dynamic Workforce Solutions - Marbach,Bexar,Alamo WDA,17,01-Oct-15,31-Jul-15,San Antonio,,,,,,,,,,,,,
31-Jul-15,Dynamic Workforce Solutions - S. Flores,Bexar,Alamo WDA,46,01-Oct-15,31-Jul-15,San Antonio,,,,,,,,,,,,,
31-Jul-15,Dynamic Workforce Solutions - Kennedy,Austin,Alamo WDA,1,01-Oct-15,31-Jul-15,Kenney,,,,,,,,,,,,,
31-Jul-15,Cal Dive International-Pt. Arthur,Jefferson,South East Texas WDA,126,31-Aug-15,31-Jul-15,Port Arthur,,,,,,,,,,,,,
31-Jul-15,Cal Dive International,Harris,Gulf Coast WDA,126,31-Aug-15,31-Jul-15,Houston,,,,,,,,,,,,,
31-Jul-15,National Oilwell Varco-Willis,Montgomery,Gulf Coast WDA,150,16-Aug-15,31-Jul-15,Willis,,,,,,,,,,,,,
30-Jul-15,"EZCORP, Inc.",Travis,Capital Area WDA,98,29-Jul-15,30-Jul-15,Austin,,,,,,,,,,,,,
30-Jul-15,Silverleaf Resorts-Tyler,Smith,East Texas WDA,33,28-Sep-15,30-Jul-15,Tyler,,,,,,,,,,,,,
30-Jul-15,Silverleaf Resorts-Irving,Dallas,Dallas County WDA,83,28-Sep-15,30-Jul-15,Irving,,,,,,,,,,,,,
30-Jul-15,Silvereaf Resorts- Holly Lake Ranch,Wood,East Texas WDA,18,28-Sep-15,30-Jul-15,Hawkins,,,,,,,,,,,,,
30-Jul-15,Silverleaf Resorts-Pantego,Tarrant,Tarrant County WDA,120,28-Sep-15,30-Jul-15,Pantego,,,,,,,,,,,,,
24-Jul-15,Maxim Integrated Products-Lone Star Office,Dallas,Dallas County WDA,27,25-Sep-15,24-Jul-15,Dallas,,,,,,,,,,,,,
22-Jul-15,The Tatitlek Corp.-Tatilek Traning Services,El Paso,Upper Rio Grande WDA,64,30-Sep-15,22-Jul-15,Fort Bliss,,,,,,,,,,,,,
21-Jul-15,HOWCO,Dewitt,Golden Crescent WDA,17,20-Jul-15,21-Jul-15,Yorktown,,,,,,,,,,,,,
20-Jul-15,Flextronics-Waco,Collin,North Central Texas WDA,168,01-Oct-15,20-Jul-15,Plano,,,,,,,,,,,,,
20-Jul-15,"TimkenSteel Matrial Services, LLC",Harris,Gulf Coast WDA,39,21-Jul-15,20-Jul-15,Houston,,,,,,,,,,,,,
17-Jul-15,Sun Products Corporation,Harris,Gulf Coast WDA,113,12-Sep-15,17-Jul-15,Pasadena,,,,,,,,,,,,,
16-Jul-15,NCS Pearson,Travis,Capital Area WDA,140,16-Sep-15,16-Jul-15,Austin,,,,,,,,,,,,,
13-Jul-15,First Transit-Austin,Travis,Capital Area WDA,342,01-Oct-15,13-Jul-15,Austin,,,,,,,,,,,,,
08-Jul-15,Baylor Medical Center - Our Children's House at Baylor - Dallas,Dallas,Dallas County WDA,181,08-Sep-15,08-Jul-15,Dallas,,,,,,,,,,,,,
07-Jul-15,Noble Energy-Rosetta Resources Inc.,Harris,Gulf Coast WDA,306,20-Jul-15,07-Jul-15,Houston,,,,,,,,,,,,,
02-Jul-15,"Wedge Energy Services, LLC",Johnson,North Central Texas WDA,46,04-Sep-15,02-Jul-15,Joshua,,,,,,,,,,,,,
01-Jul-15,University of TX-Pan American,Hidalgo,Lower Rio Grande Valley WDA,2424,31-Aug-15,01-Jul-15,Edinburg,,,,,,,,,,,,,
01-Jul-15,University of TX-Pan American-S. Padre Island,Cameron,Cameron County WDA,345,31-Aug-15,01-Jul-15,S Padre Island,,,,,,,,,,,,,
01-Jul-15,University of TX-Pan American-Rio Grande City,Starr,South Texas WDA,345,31-Aug-15,01-Jul-15,Rio Grande City,,,,,,,,,,,,,
01-Jul-15,University of TX-Pan American-McAllen,Hidalgo,Lower Rio Grande Valley WDA,345,31-Aug-15,01-Jul-15,McAllen,,,,,,,,,,,,,
30-Jun-15,Xerox Commercial Solutions - Wichita Falls,Wichita,North Texas WDA,257,28-Aug-15,30-Jun-15,Wichita Falls,,,,,,,,,,,,,
30-Jun-15,Christus Health Southeast TX,Jefferson,South East Texas WDA,162,01-Sep-15,30-Jun-15,Port Arthur,,,,,,,,,,,,,
29-Jun-15,University of Texas at Brownsville (UTB),Cameron,Cameron County WDA,1141,31-Aug-15,29-Jun-15,Brownsville,,,,,,,,,,,,,
26-Jun-15,"Marvell Semiconductor, Inc.-Austin Design Center",Travis,Capital Area WDA,52,25-Aug-15,26-Jun-15,Austin,,,,,,,,,,,,,
24-Jun-15,Avnet,Dallas,Dallas County WDA,68,24-Aug-15,24-Jun-15,Coppell,,,,,,,,,,,,,
24-Jun-15,Boeing Company,Harris,Gulf Coast WDA,3,21-Aug-15,24-Jun-15,Houston,,,,,,,,,,,,,
19-Jun-15,Sears Holdings Unit 2507 &  6644,Hidalgo,Lower Rio Grande Valley WDA,132,01-Nov-15,19-Jun-15,McAllen,,,,,,,,,,,,,
16-Jun-15,APM Terminals,Harris,Gulf Coast WDA,109,24-Jul-15,16-Jun-15,La Porte,,,,,,,,,,,,,
15-Jun-15,Containment Solutions Inc.,Montgomery,Gulf Coast WDA,62,01-Sep-15,15-Jun-15,Conroe,,,,,,,,,,,,,
10-Jun-15,CDI HS-Woodsboro,Refugio,Coastal Bend WDA,8,31-Jul-15,10-Jun-15,Woodsboro,,,,,,,,,,,,,
10-Jun-15,CDI HS-Skidmore,Bee,Coastal Bend WDA,8,31-Jul-15,10-Jun-15,Skidmore,,,,,,,,,,,,,
10-Jun-15,CDI HS-Beeville2,Bee,Gulf Coast WDA,8,31-Jul-15,10-Jun-15,Beeville,,,,,,,,,,,,,
10-Jun-15,CDI HS-Refugio,Refugio,Coastal Bend WDA,8,31-Jul-15,10-Jun-15,Refugio,,,,,,,,,,,,,
10-Jun-15,CDI HS-George West,Live Oak,Coastal Bend WDA,8,31-Jul-15,10-Jun-15,George West,,,,,,,,,,,,,
10-Jun-15,CDI HS-Goliad,Goliad,Golden Crescent WDA,9,31-Jul-15,10-Jun-15,Goliad,,,,,,,,,,,,,
10-Jun-15,CDI HS-Beeville,Bee,Gulf Coast WDA,9,31-Jul-15,10-Jun-15,Beeville,,,,,,,,,,,,,
04-Jun-15,Goldstar Transit,Travis,Capital Area WDA,69,31-Jul-15,04-Jun-15,Manor,,,,,,,,,,,,,
03-Jun-15,PM Realty Group LP (PMRG)-Smith,Harris,Dallas County WDA,21,31-Jul-15,03-Jun-15,Houston,,,,,,,,,,,,,
03-Jun-15,PM Realty Group LP (PMRG) Smith St,Harris,Gulf Coast WDA,5,31-Jul-15,03-Jun-15,Houston,,,,,,,,,,,,,
03-Jun-15,PM Realty Group LP (PMRG),Harris,Gulf Coast WDA,26,31-Jul-15,03-Jun-15,Houston,,,,,,,,,,,,,
02-Jun-15,Speedy Stop Food Stores,Victoria,Golden Crescent WDA,84,31-Jul-15,02-Jun-15,Victoria,,,,,,,,,,,,,
01-Jun-15,Aramark-Allen,Collin,North Central Texas WDA,114,30-Jun-15,01-Jun-15,Allen,,,,,,,,,,,,,
01-Jun-15,Horizon Lines Inc.,Dallas,Dallas County WDA,114,31-Jul-15,01-Jun-15,Irving,,,,,,,,,,,,,
27-May-15,"Shamrock Precision Operations, LLC",Harris,Gulf Coast WDA,41,31-May-15,27-May-15,Houston,,,,,,,,,,,,,
27-May-15,"Magnum Precision Operations, LLC",Harris,Gulf Coast WDA,83,31-May-15,27-May-15,Houston,,,,,,,,,,,,,
27-May-15,"Axion Services, LLC",Harris,Gulf Coast WDA,14,31-May-15,27-May-15,Houston,,,,,,,,,,,,,
27-May-15,Ocwen Financial Corp.-Litton Loan Servicing (LLS) LP,Harris,Gulf Coast WDA,141,31-Jul-15,27-May-15,Houston,,,,,,,,,,,,,
27-May-15,ThermoFisher Scientific-Sugarland,Fort Bend,Gulf Coast WDA,52,31-May-15,27-May-15,Sugar Land,,,,,,,,,,,,,
27-May-15,Boeing Company,Harris,Gulf Coast WDA,8,24-Jul-15,27-May-15,Houston,,,,,,,,,,,,,
26-May-15,Hodges Trucking,Johnson,North Central Texas WDA,67,25-Jul-15,26-May-15,Alvarado,,,,,,,,,,,,,
26-May-15,GDC Technics,Bexar,Alamo WDA,162,31-Jul-15,26-May-15,San Antonio,,,,,,,,,,,,,
18-May-15,Gulf Marine Fabricators - Aransas Pass,San Patricio,Coastal Bend WDA,554,20-Jul-15,18-May-15,Aransas Pass,,,,,,,,,,,,,
18-May-15,"Blue Bell Creameries, L.P.",Washington,Brazos Valley WDA,341,29-May-15,18-May-15,Brenham,,,,,,,,,,,,,
15-May-15,Albertsons #2587,Tarrant,Tarrant County WDA,45,20-Jun-15,15-May-15,Arlington,,,,,,,,,,,,,
15-May-15,Ryder-Haltom City,Tarrant,Tarrant County WDA,95,15-May-15,15-May-15,Haltom City,,,,,,,,,,,,,
15-May-15,Access Mediquip,Harris,Gulf Coast WDA,40,01-May-15,15-May-15,Houston,,,,,,,,,,,,,
14-May-15,"TIC Energy & Chemical, Inc-(TEC) -Freeport",Brazoria,Gulf Coast WDA,500,31-May-15,14-May-15,Freeport,,,,,,,,,,,,,
13-May-15,"Danbury Aerospace, Inc. (DAI)",Bexar,Alamo WDA,106,06-Jul-15,13-May-15,San Antonio,,,,,,,,,,,,,
12-May-15,Select Medical Corp.,Harris,Gulf Coast WDA,222,03-Jul-15,12-May-15,Houston,,,,,,,,,,,,,
07-May-15,"Capital One Services, Inc.",Dallas,Dallas County WDA,299,04-Jul-15,07-May-15,Irving,,,,,,,,,,,,,
05-May-15,Child Care Associates,Tarrant,Tarrant County WDA,75,04-Jul-15,05-May-15,Ft. Worth,,,,,,,,,,,,,
05-May-15,HOWCO,Dewitt,Golden Crescent WDA,32,28-Apr-15,05-May-15,Yorktown,,,,,,,,,,,,,
04-May-15,Valmont Brenham,Washington,Brazos Valley WDA,173,04-Jul-15,04-May-15,Brenham,,,,,,,,,,,,,
01-May-15,Whole Foods Market-Houston,Harris,Gulf Coast WDA,100,03-Jul-15,01-May-15,Houston,,,,,,,,,,,,,
01-May-15,Celebrating Home,Harrison,East Texas WDA,80,31-Jul-15,01-May-15,Marshall,,,,,,,,,,,,,
01-May-15,Austin American Statesman,Travis,Capital Area WDA,103,13-Jul-15,01-May-15,Austin,,,,,,,,,,,,,
29-Apr-15,Aramark-Texarkana,Bowie,North East Texas WDA,105,30-Jun-15,29-Apr-15,Texarkana,,,,,,,,,,,,,
29-Apr-15,Aramark-Atlanta,Cass,North East Texas WDA,5,30-Jun-15,29-Apr-15,Atlanta,,,,,,,,,,,,,
28-Apr-15,Bell Helicopter-S Norwood,Tarrant,Tarrant County WDA,538,03-Jul-15,28-Apr-15,Hurst,,,,,,,,,,,,,
28-Apr-15,Bell Helicopter-Bell Helicopter Blvd.,Tarrant,Tarrant County WDA,35,03-Jul-15,28-Apr-15,Ft. Worth,,,,,,,,,,,,,
28-Apr-15,Bell Helicopter-High River Rd.,Tarrant,Tarrant County WDA,35,03-Jul-15,28-Apr-15,Ft. Worth,,,,,,,,,,,,,
28-Apr-15,Bell Helicopter-Arlington,Tarrant,Tarrant County WDA,35,03-Jul-15,28-Apr-15,Arlington,,,,,,,,,,,,,
28-Apr-15,Bell Helicopter-Aviator Way,Tarrant,Tarrant County WDA,35,03-Jul-15,28-Apr-15,Ft. Worth,,,,,,,,,,,,,
28-Apr-15,Bell Helicopter-Highway 360,Tarrant,Tarrant County WDA,35,03-Jul-15,28-Apr-15,Grand Prairie,,,,,,,,,,,,,
27-Apr-15,CB&I Stone & Webster,Somervell,North Central Texas WDA,322,31-May-15,27-Apr-15,Glen Rose,,,,,,,,,,,,,
23-Apr-15,Baker Hughes-Alice2,Jim Wells,Coastal Bend WDA,27,23-Apr-15,23-Apr-15,Alice,,,,,,,,,,,,,
